id,city_name_en,city_name_ar,gov,population,area
90,At-Tall al-Kabīr,التل الكبير,ISM,"43,459",1856
91,Aṭ-Ṭūd,الطود,UQS,"28,722",1446
92,Aṭ-Ṭūr [El Tor],الطور,SJN,"35,046",6001
93,Awlād Ṣaqr,أولاد صقر,SQY,"30,279",837
94,Awsīm,أوسيم,JIZ,"90,839",1246
95,Az-Zaqāzīq [Zagazig],الزقازيق,SQY,"396,852",1403
96,Az-Zarqā',الزرقاء,DMY,"25,534",730
97,Az-Zayniyah Qiblī,الزينية قبلي,UQS,"18,665",224
98,Badr,بدر,BHR,"24,578",2731
99,Balṭīm,بلطيم,KSH,"48,015",3568
100,Banhā,بنها,QLY,"174,518",1095
101,Banī Mazār [Beni Mazar],بنى مزار,MNY,"103,891",819
102,Banī Suwayf [Beni Suef],بنى سويف,BSW,"246,395",1400
103,Banī Suwayf al-Jadīdah [New Beni Suef],بنى سويف الجديدة,BSW,"29,117",26762
104,Banī Ubayd,بني عبيد,DQH,"42,235",2869
105,Basyūn [Basyoun],بسيون,GHB,"68,839",1915
106,Bibā,ببا,BSW,"85,404",1713
107,Bilbays [Bilbeis],بلبيس,SQY,"170,785",3486
108,Bilqās [Belqas],بلقاس,DQH,"125,686",3251
109,B'īr al-'Abd,بئر العبد,SSH,"25,319",8020
110,Birkat as-Sab' [Birket el-Sab],بركة السبع,MNF,"47,436",1052
111,Biyalā,بيلا,KSH,"83,398",4070
112,Burj al-'Arab,برج العرب,ISK,"21,780",2842
113,Burj al-Barlus,برج البرلس,KSH,"56,481",28329
114,Būr Sa'īd [Port Said],بور سعيد,BSD,"760,152",129425
115,Damanhūr [Damanhour],دمنهور,BHR,"278,413",684
116,Dar as-Salām [Dar el-Salam],دار السلام,SWJ,"35,335",2543
117,Daraw,دراو,ASW,"54,905",1702
118,Dayr Mawās [Deir Mawas],دير مواس,MNY,"54,598",2132
119,Dayrūṭ [Dairut],ديروط,ASY,"93,223",644
120,Dikirnis,دكرنس,DQH,"92,682",2520
121,Dishnā,دشنا,QNA,"61,812",1247
122,Disūq [Desouk],دسوق,KSH,"139,794",864
123,Diyarb Najm,ديرب نجم,SQY,"74,639",863
124,Dumyāṭ [Damietta],دمياط,DMY,"289,833",353
125,Fa'id [Fayid],فايد,ISM,"32,450",5537
126,Fāqūs [Faqous],فاقوس,SQY,"107,819",1078
127,Fāraskūr,فارسكور,DMY,"41,118",1413
128,Farshūṭ,فرشوط,QNA,"67,793",613
129,Fuwah,فوه,KSH,"87,451",2395
130,Ḥawsh 'Īsā [Hosh Essa],حوش عيسى,BHR,"72,621",2394
131,Hihyā,ههيا,SQY,"68,987",1176
132,Ibshawāy [Ibsheway],إبشواى,FYM,"81,264",2038
133,Idfū [Edfu],إدفو,ASW,"70,657",3609
134,Idkū,إدكو,BHR,"154,997",7244
135,Ihnāsiyā,اهناسيا,BSW,"57,782",1111
136,Isnā [Esna],اسنا,UQS,"90,355",1903
137,Iṭsā,أطسا,FYM,"70,108",2843
138,Ityāy al-Bārūd,إيتاى البارود,BHR,"67,899",2564
139,'Izbat al-Burj,عزبةالبرج,DMY,"50,285",468
140,Jirjā [Girga],جرجا,SWJ,"140,622",1153
141,Juhaynah,جهينة,SWJ,"71,174",2273
142,Kafr ad-Dawwār,كفر الدوار,BHR,"112,467",546
143,Kafr al-Baṭṭīkh,كفر البطيخ,DMY,"44,716",2120
144,Kafr ash-Shaykh [Kafr el-Sheikh],كفر الشيخ,KSH,"182,186",1934
145,Kafr az-Zayyāt,كفر الزيات,GHB,"76,413",919
146,Kafr Sa'd,كفر سعد,DMY,"17,164",905
147,Kafr Ṣaqr,كفر صقر,SQY,"41,055",350
148,Kafr Shukr,كفر شكر,QLY,"29,634",637
149,Kawm Ḥamādah,كوم حمادة,BHR,"48,691",601
150,Kawm Umbū [Kom Ombo],كوم امبو,ASW,"103,342",1520
151,Kirdāsah,كرداسة,JIZ,"132,716",1953
152,Madīnat 'Ashirh min-Ramaḍān [10th of Ramadan City],مدينة عشرة رمضان,SQY,"226,953",6605
153,Madīnat as-Sādāt [Sadat City],مدينة السادات,MNF,"66,615",1456
154,Madīnat Badr [Badr City],مدينة بدر,QAH,"31,877",10346
155,Madīnat Burj al-'Arab al-Jadīdah [New Borg Al-Arab],مدينه برج العرب الجديده,ISK,"44,511",16621
156,Madīnat Dumyāṭ al-Jadīdah [New Damietta City],قسم مدينة دمياط الجديدة,DMY,"51,635",4394
157,Madīnat Sittah Uktūbar [6th October City],مدينة ستة اكتوبر,JIZ,"355,616",43753
158,Maghāghah,مغاغه,MNY,"106,100",1230
159,Maḥallah Damanah,محله دمنه,DQH,"29,268",1410
160,Mallawī,ملوى,MNY,"190,829",1929
161,Manfalūṭ,منفلوط,ASY,"107,184",1903
162,Manshat al-Qanāṭir,منشأة القناطر,JIZ,"18,504",236
163,Marsā Maṭrūḥ [Mersa Matruh],مرسى مطروح,MTR,"153,062",65357
164,Mashtūl as-Sūq,مشتول السوق,SQY,"69,920",1256
165,Maṭāy [Matai],ماتاى,MNY,"73,888",1334
166,Minūf,منوف,MNF,"117,107",1741
167,Minyā al-Qamḥ,منيا القمح,SQY,"91,535",628
168,Minyat an-Naṣr,منية النصر,DQH,"75,581",3010
169,Mīt Abū Ghālb,ميت ابو غالب,DMY,"19,393",935
170,Mīt Ghamr,ميت غمر,DQH,"140,985",1330
171,Mīt Salsīl,ميت سلسيل,DQH,"44,160",2845
172,Munshāh Abū 'Umar,منشاه ابوعمر,SQY,"20,786",0
173,Mūṭ (Ad-Dākhlah) [Dakhla],الداخلة,WJD,"24,376",3534
174,Muṭūbis [Metoubes],مطوبس,KSH,"41,106",1407
175,Nabarūh,نبروه,DQH,"54,286",1215
176,Naj' Ḥammādī,نجع حمادى,QNA,"56,899",443
177,Naqādah [Naqada],نقادة,QNA,"25,561",1038
178,Nāṣir Būsh, ناصر-بوش سابقا,BSW,"123,075",3588
179,Qahā,قها,QLY,"34,686",949
180,Qallīn,قلين,KSH,"45,164",1699
181,Qalyūb,قليوب,QLY,"149,737",2143
182,Qifṭ [Gebtu,Coptos],قفط,"22,063","22,921"
183,Qinā [Qena],قنا,QNA,"241,422",3158
184,Qūṣ,قوص,QNA,"80,559",1568
185,Quṭūr,قطور,GHB,"29,380",1495
186,Quwaysinā [Quweisna],قويسنا,MNF,"61,193",641
187,Rafaḥ,رفح,SSH,"42,516",5904
188,Rās al-Bar,راس البر,DMY,"9,677",2237
189,Ras Ghārib,رأس غارب,BAH,"42,365",493957
190,Rashīd [Rosetta],رشيد,BHR,"110,048",9228
191,Safājā [Safaga],سفاجا,BAH,"50,665",99464
192,Sāḥīl Salim [Sahel Selim],ساحل سليم,ASY,"49,167",1529
193,Samālūṭ,سمالوط,MNY,"127,447",1393
194,Samannūd,سمنود,GHB,"80,606",1923
195,Ṣān al-Ḥajar [Tanis],صان الحجر القبلية,SQY,"28,555",0
196,Sāqultah [Sakulta],ساقلته,SWJ,"31,864",854
197,Sawhāj [Sohag],سوهاج,SWJ,"248,174",903
198,Sharm ash-Shaykh [Sharm el-Sheikh],شرم الشيخ,SJN,...,4466
199,Shibīn al-Kawm [Shibin el-Kom],شبين الكوم,MNF,"249,611",2852
200,Shibīn al-Qanāṭir [Shibin el-Qanater],شبين القناطر,QLY,"70,585",1044
201,Shirbīn,شربين,DQH,"69,761",1039
202,Shubrā al-Khaymah [Shubra el-Kheima],شبرا الخيمة,QLY,"1,187,747",2999
203,Shubrākhīt,شبراخيت,BHR,"36,077",856
204,Ṣidfā [Sodfa],صدفا,ASY,"27,475",367
205,Sīdī Barrānī,سيدى برانى,MTR,"33,173",59160
206,Sīdī Ghāzī,سيدى غازى,KSH,"26,344",1536
207,Sīdī Sālim,سيدي سالم,KSH,"41,864",1117
208,Sinnūris,سنورس,FYM,"125,905",1309
209,Sirs al-Layyānah,سرس الليانة,MNF,"72,821",1615
210,Sīwa,سيوة,MTR,"21,711",20055
211,Sumusṭā al-Waqf,سمسطا,BSW,"58,601",1940
212,Ṭahṭā,طهطا,SWJ,"124,874",555
213,Talā,تلا,MNF,"67,576",2299
214,Ṭalkhā,طلخا,DQH,"103,471",1172
215,Tama al-Āmdīd,تمى الامديد,DQH,"18,695",720
216,Ṭāmiyah [Tamiya],طامية,FYM,"68,897",1484
217,Ṭanṭā,طنطا,GHB,"528,672",1953
218,Ṭimā,طما,SWJ,"94,021",1206
219,Ṭūkh,طوخ,QLY,"50,360",650
220,Wadi an-Natrun [Natron Valley],وادى النطرون ,BHR,"36,033",4229
221,Yūsuf aṣ-Ṣiddīq, يوسف الصديق,FYM,"22,596",9616
222,Ziftā,زفتى,GHB,"102,411",1624
